,No.,Name,Position,Height,Points,Assists,Ds,Turns,url,Team,Seed,UpperName
0,0,Kiron Allen,,"6'0""",2.0,,,1.0,/events/teams/?EventTeamId=erqAjesXcxGx9pqgtJJMa5dA64gr%2brZkPfY4W8saZhU%3d,Ring of Fire,5,KIRON ALLEN
1,1,Justin Allen,Cutter,,,,,,/events/teams/?EventTeamId=erqAjesXcxGx9pqgtJJMa5dA64gr%2brZkPfY4W8saZhU%3d,Ring of Fire,5,JUSTIN ALLEN
2,2,Roosevelt Ward,,,1.0,,,,/events/teams/?EventTeamId=erqAjesXcxGx9pqgtJJMa5dA64gr%2brZkPfY4W8saZhU%3d,Ring of Fire,5,ROOSEVELT WARD
3,3,JD Hastings,Handler,"6'6""",,4.0,1.0,,/events/teams/?EventTeamId=erqAjesXcxGx9pqgtJJMa5dA64gr%2brZkPfY4W8saZhU%3d,Ring of Fire,5,JD HASTINGS
4,4,Dillon Lanier,Cutter,"6'0""",8.0,10.0,1.0,1.0,/events/teams/?EventTeamId=erqAjesXcxGx9pqgtJJMa5dA64gr%2brZkPfY4W8saZhU%3d,Ring of Fire,5,DILLON LANIER
5,6,Jacob Mouw,,,,,,,/events/teams/?EventTeamId=erqAjesXcxGx9pqgtJJMa5dA64gr%2brZkPfY4W8saZhU%3d,Ring of Fire,5,JACOB MOUW
6,7,Alexander Davis,Handler,"5'10""",4.0,1.0,1.0,,/events/teams/?EventTeamId=erqAjesXcxGx9pqgtJJMa5dA64gr%2brZkPfY4W8saZhU%3d,Ring of Fire,5,ALEXANDER DAVIS
7,10,Henry Fisher,Cutter,"6'5""",10.0,,3.0,2.0,/events/teams/?EventTeamId=erqAjesXcxGx9pqgtJJMa5dA64gr%2brZkPfY4W8saZhU%3d,Ring of Fire,5,HENRY FISHER
8,12,Joey Cretella,Cutter,,2.0,3.0,3.0,2.0,/events/teams/?EventTeamId=erqAjesXcxGx9pqgtJJMa5dA64gr%2brZkPfY4W8saZhU%3d,Ring of Fire,5,JOEY CRETELLA
9,14,Liam Searles-Bohs,Dump,"6'1""",5.0,5.0,,6.0,/events/teams/?EventTeamId=erqAjesXcxGx9pqgtJJMa5dA64gr%2brZkPfY4W8saZhU%3d,Ring of Fire,5,LIAM SEARLES-BOHS
10,15,Eric Taylor,Cutter,"6'1""",8.0,14.0,,6.0,/events/teams/?EventTeamId=erqAjesXcxGx9pqgtJJMa5dA64gr%2brZkPfY4W8saZhU%3d,Ring of Fire,5,ERIC TAYLOR
11,16,Anders Juengst,Handler,"5'7""",2.0,1.0,1.0,2.0,/events/teams/?EventTeamId=erqAjesXcxGx9pqgtJJMa5dA64gr%2brZkPfY4W8saZhU%3d,Ring of Fire,5,ANDERS JUENGST
12,18,Elijah Long,,"5'11""",2.0,6.0,,5.0,/events/teams/?EventTeamId=erqAjesXcxGx9pqgtJJMa5dA64gr%2brZkPfY4W8saZhU%3d,Ring of Fire,5,ELIJAH LONG
13,19,Stanley Birdsong,,"6'3""",1.0,2.0,,,/events/teams/?EventTeamId=erqAjesXcxGx9pqgtJJMa5dA64gr%2brZkPfY4W8saZhU%3d,Ring of Fire,5,STANLEY BIRDSONG
14,21,Matt Gouchoe-Hanas,Handler,"1'0""",1.0,2.0,2.0,1.0,/events/teams/?EventTeamId=erqAjesXcxGx9pqgtJJMa5dA64gr%2brZkPfY4W8saZhU%3d,Ring of Fire,5,MATT GOUCHOE-HANAS
